,datetime,latitude,longitude,temperature
1126578,2021-01-01 10:55:00,38.398,-77.456,4.0
118269,2021-01-01 10:55:00,38.267,-77.449,4.2
1113410,2021-01-01 10:56:00,38.721,-77.515,3.3
680030,2021-01-01 10:56:00,38.504,-77.305,4.4
767481,2021-01-01 10:56:00,38.717,-77.183,3.2
373850,2021-01-01 11:00:00,38.87,-77.02,2.7
1128953,2021-01-01 11:15:00,38.586,-77.711,3.5
662125,2021-01-01 11:15:00,38.527,-77.859,3.5
1124047,2021-01-01 11:15:00,38.398,-77.456,3.7
720421,2021-01-01 11:15:00,38.01,-77.97,3.1
956415,2021-01-01 11:15:00,38.267,-77.449,4.1
116663,2021-01-01 11:35:00,38.267,-77.449,4.0
604357,2021-01-01 11:35:00,38.586,-77.711,3.4
521807,2021-01-01 11:35:00,38.398,-77.456,3.7
122147,2021-01-01 11:35:00,38.01,-77.97,3.1
1353951,2021-01-01 11:35:00,38.527,-77.859,3.4
485214,2021-01-01 11:52:00,38.847,-77.035,2.8
202782,2021-01-01 11:52:00,38.935,-77.447,1.7
105226,2021-01-01 11:55:00,38.398,-77.456,3.6
746732,2021-01-01 11:55:00,38.267,-77.449,4.0
528063,2021-01-01 11:55:00,38.586,-77.711,3.3
523616,2021-01-01 11:55:00,38.01,-77.97,3.1
839606,2021-01-01 11:55:00,38.527,-77.859,3.5
1203872,2021-01-01 11:56:00,38.504,-77.305,3.9
1260637,2021-01-01 11:56:00,38.721,-77.515,2.8
208378,2021-01-01 11:56:00,38.717,-77.183,3.0
203622,2021-01-01 12:00:00,38.95,-77.45,1.7
177579,2021-01-01 12:00:00,38.85,-77.033,2.8
374115,2021-01-01 12:00:00,38.87,-77.02,2.6
799358,2021-01-01 12:11:00,38.717,-77.183,3.0
109546,2021-01-01 12:15:00,38.586,-77.711,3.3
105478,2021-01-01 12:15:00,38.398,-77.456,3.6
1353068,2021-01-01 12:15:00,38.527,-77.859,3.2
723529,2021-01-01 12:15:00,38.01,-77.97,3.0
119712,2021-01-01 12:15:00,38.267,-77.449,4.0
911748,2021-01-01 12:34:00,38.717,-77.183,2.0
113495,2021-01-01 12:35:00,38.586,-77.711,3.2
714651,2021-01-01 12:35:00,38.267,-77.449,4.0
103997,2021-01-01 12:35:00,38.398,-77.456,3.6
123708,2021-01-01 12:35:00,38.01,-77.97,3.0
98058,2021-01-01 12:35:00,38.527,-77.859,3.1
178567,2021-01-01 12:52:00,38.847,-77.035,2.8
515203,2021-01-01 12:52:00,38.935,-77.447,1.7
716791,2021-01-01 12:55:00,38.267,-77.449,4.0
965687,2021-01-01 12:55:00,38.01,-77.97,2.9
1131358,2021-01-01 12:55:00,38.586,-77.711,3.1
1044733,2021-01-01 12:55:00,38.398,-77.456,3.6
623906,2021-01-01 12:55:00,38.527,-77.859,3.1
1111675,2021-01-01 12:56:00,38.717,-77.183,2.3
1260201,2021-01-01 12:56:00,38.721,-77.515,2.8
224304,2021-01-01 12:56:00,38.504,-77.305,3.9
